cbcl1,cbcl2,cbcl3,cbcl4,cbcl5,cons
nausea_feels_sick,nausea_feels_sick_4bb88e,nausea_feels_sick_85e82c,nausea_feels_sick_v4,nausea_feels_sick_v4_v5,nausea_feels_sick
headaches,headaches_3bf6bc,headaches_4606de,headaches_v4,headaches_v4_v5,headaches
problems_with_eyes,problems_with_eyes_eb726c,problems_with_eyes_8634fb,problems_with_eyes_v4,problems_with_eyes_v4_v5,problems_with_eyes
problems_with_eyes_desc,problems_with_eyes_desc_416a67,problems_with_eyes_desc_b578da,problems_with_eyes_desc_v4,problems_with_eyes_desc_v4_v5,problems_with_eyes_desc
rashes_skin_problems,rashes_skin_problems_282321,rashes_skin_problems_0fe1e6,rashes_skin_problems_v4,rashes_skin_problems_v4_v5,rashes_skin_problems
vomiting,vomiting_09b30c,vomiting_adbe2d,vomiting_v4,vomiting_v4_v5,vomiting
physically_attacks,physically_attacks_babf30,physically_attacks_762fb2,physically_attacks_v4,physically_attacks_v4_v5,physically_attacks
picks_at_self,picks_at_self_8200fb,picks_at_self_c544b2,picks_at_self_v4,picks_at_self_v4_v5,picks_at_self
picks_cbcl_1,picks_cbcl_2,picks_cbcl_3,picks_cbcl4,picks_cbcl5,picks
plays_with_self,plays_with_self_de499e,plays_with_self_566d45,plays_with_self_v4,plays_with_self_v4_v5,plays_with_self
plays_with_self_excess,plays_with_self_excess_fe7890,plays_with_self_excess_d6ce00,plays_with_self_excess_v4,plays_with_self_excess_v4_v5,plays_with_self_excess
poor_school_work,poor_school_work_0e7f15,poor_school_work_16fd0b,poor_school_work_v4,poor_school_work_v4_v5,poor_school_work
uncoordinated_clumsy,uncoordinated_clumsy_134ab0,uncoordinated_clumsy_207b50,uncoordinated_clumsy_v4,uncoordinated_clumsy_v4_v5,uncoordinated_clumsy
preference_around_older_kids,preference_around_older_kids_64ca6f,preference_around_older_kids_4d4818,preference_around_older_kids_v4,preference_around_older_kids_v4_v5,preference_around_older_kids
preference_around_younger_kids,preference_around_younger_kids_f33694,preference_around_younger_kids_11c329,preference_around_younger_kids_v4,preference_around_younger_kids_v4_v5,preference_around_younger_kids
refuses_to_talk,refuses_to_talk_5f5d7b,refuses_to_talk_7f577d,refuses_to_talk_v4,refuses_to_talk_v4_v5,refuses_to_talk
compulsions,compulsions_69ee23,compulsions_49ee26,compulsions_v4,compulsions_v4_v5,compulsions
compulsions_desc,compulsions_desc_c50d06,compulsions_desc_cfc15f,compulsions_desc_v4,compulsions_desc_v4_v5,compulsions_desc
runs_from_home,runs_from_home_bdcec8,runs_from_home_a5a24e,runs_from_home_v4,runs_from_home_v4_v5,runs_from_home
screams_a_lot,screams_a_lot_7546f4,screams_a_lot_eceef4,screams_a_lot_v4,screams_a_lot_v4_v5,screams_a_lot
secretive,secretive_208ed0,secretive_a0274b,secretive_v4,secretive_v4_v5,secretive
visual_hallucinations,visual_hallucinations_f8407f,visual_hallucinations_fbfbce,visual_hallucinations_v4,visual_hallucinations_v4_v5,visual_hallucinations
visual_hallucinations_desc,visual_hallucinations_desc_3ef382,visual_hallucinations_desc_3e7580,visual_hallucinations_desc_v4,visual_hallucinations_desc_v4_v5,visual_hallucinations_desc
self_conscious,self_conscious_c7405a,self_conscious_41678e,self_conscious_v4,self_conscious_v4_v5,self_conscious
sets_fires,sets_fires_8e3f04,sets_fires_2d351e,sets_fires_v4,sets_fires_v4_v5,sets_fires
sexual_problems,sexual_problems_d27ef8,sexual_problems_8d2653,sexual_problems_v4,sexual_problems_v4_v5,sexual_problems
sexual_problems_desc,sexual_problems_desc_5c0448,sexual_problems_desc_185b38,sexual_problems_desc_v4,sexual_problems_desc_v4_v5,sexual_problems_desc
showing_off,showing_off_04cf14,showing_off_16cadf,showing_off_v4,showing_off_v4_v5,showing_off
shy_timid,shy_timid_4e5d74,shy_timid_36159e,shy_timid_v4,shy_timid_v4_v5,shy_timid
sleeps_less_than_most_kids,sleeps_less_than_most_kids_7b08de,sleeps_less_than_most_kids_422b15,sleeps_less_than_most_kids_v4,sleeps_less_than_most_kids_v4_v5,sleeps_less_than_most_kids
sleeps_more_than_most_kids,sleeps_more_than_most_kids_c9af6e,sleeps_more_than_most_kids_70af60,sleeps_more_than_most_kids_v4,sleeps_more_than_most_kids_v4_v5,sleeps_more_than_most_kids
sleeps_more_desc,sleeps_more_desc_9d2991,sleeps_more_desc_2f2e0c,sleeps_more_desc_v4,sleeps_more_desc_v4_v5,sleeps_more_desc
inattentive,inattentive_d1c9be,inattentive_2b4f64,inattentive_v4,inattentive_v4_v5,inattentive
speech_problem,speech_problem_769a19,speech_problem_6ce488,speech_problem_v4,speech_problem_v4_v5,speech_problem
speech_problem_desc,speech_problem_desc_4d18e5,speech_problem_desc_4595d7,speech_problem_desc_v4,speech_problem_desc_v4_v5,speech_problem_desc
stares_blankly,stares_blankly_281e3c,stares_blankly_7e43d7,stares_blankly_v4,stares_blankly_v4_v5,stares_blankly
steals_at_home,steals_at_home_d5f7b4,steals_at_home_7b2f92,steals_at_home_v4,steals_at_home_v4_v5,steals_at_home
steals_outside_home,steals_outside_home_9ac638,steals_outside_home_5d09bb,steals_outside_home_v4,steals_outside_home_v4_v5,steals_outside_home
stores_things_dont_need,stores_things_dont_need_61eb43,stores_things_dont_need_f713ac,stores_things_dont_need_v4,stores_things_dont_need_v4_v5,stores_things_dont_need
stores_things_desc,stores_things_desc_12927d,stores_things_desc_bd240e,stores_things_desc_v4,stores_things_desc_v4_v5,stores_things_desc
strange_behavior,strange_behavior_5ebcd7,strange_behavior_004c68,strange_behavior_v4,strange_behavior_v4_v5,strange_behavior
strange_behavior_desc,strange_behavior_desc_2e009b,strange_behavior_desc_7c5ddf,strange_behavior_desc_v4,strange_behavior_desc_v4_v5,strange_behavior_desc
strange_ideas,strange_ideas_0c1dab,strange_ideas_c543fb,strange_ideas_v4,strange_ideas_v4_v5,strange_ideas
strange_ideas_desc,strange_ideas_desc_e5c870,strange_ideas_desc_03386c,strange_ideas_desc_v4,strange_ideas_desc_v4_v5,strange_ideas_desc
stubborn_irritable,stubborn_irritable_65eb62,stubborn_irritable_0c9b92,stubborn_irritable_v4,stubborn_irritable_v4_v5,stubborn_irritable
changes_in_mood,changes_in_mood_da4133,changes_in_mood_7b8b32,changes_in_mood_v4,changes_in_mood_v4_v5,changes_in_mood
sulks_a_lot,sulks_a_lot_7f7887,sulks_a_lot_a519fa,sulks_a_lot_v4,sulks_a_lot_v4_v5,sulks_a_lot
suspicious,suspicious_1bd7ae,suspicious_44de91,suspicious_v4,suspicious_v4_v5,suspicious
obscene_language,obscene_language_0735c9,obscene_language_70afe8,obscene_language_v4,obscene_language_v4_v5,obscene_language
talks_of_suicide,talks_of_suicide_e56aa6,talks_of_suicide_69c220,talks_of_suicide_v4,talks_of_suicide_v4_v5,talks_of_suicide
sleep_walks_talks,sleep_walks_talks_5c8e98,sleep_walks_talks_68fa9b,sleep_walks_talks_v4,sleep_walks_talks_v4_v5,sleep_walks_talks
sleep_walks_talks_desc,sleep_walks_talks_desc_543202,sleep_walks_talks_desc_aca421,sleep_walks_talks_desc_v4,sleep_walks_talks_desc_v4_v5,sleep_walks_talks_desc
talks_too_much,talks_too_much_a05c93,talks_too_much_d13888,talks_too_much_v4,talks_too_much_v4_v5,talks_too_much
teases,teases_773df6,teases_2bf200,teases_v4,teases_v4_v5,teases
temper_tantrums,temper_tantrums_8a9c04,temper_tantrums_f13a2b,temper_tantrums_v4,temper_tantrums_v4_v5,temper_tantrums
thinks_about_sex,thinks_about_sex_a5c5d7,thinks_about_sex_d5f1d8,thinks_about_sex_v4,thinks_about_sex_v4_v5,thinks_about_sex
threatens_people,threatens_people_1d96df,threatens_people_ea005c,threatens_people_v4,threatens_people_v4_v5,threatens_people
thumb_sucking,thumb_sucking_8461c0,thumb_sucking_725f21,thumb_sucking_v4,thumb_sucking_v4_v5,thumb_sucking
uses_tobacco,uses_tobacco_ae4c24,uses_tobacco_303f17,uses_tobacco_v4,uses_tobacco_v4_v5,uses_tobacco
trouble_sleeping,trouble_sleeping_1ecf62,trouble_sleeping_fb2134,trouble_sleeping_v4,trouble_sleeping_v4_v5,trouble_sleeping
trouble_sleeping_desc,trouble_sleeping_desc_453ee4,trouble_sleeping_desc_2fbc5b,trouble_sleeping_desc_v4,trouble_sleeping_desc_v4_v5,trouble_sleeping_desc
truancy,truancy_facd89,truancy_152de4,truancy_v4,truancy_v4_v5,truancy
low_energy,low_energy_ee3ae2,low_energy_c0ac70,low_energy_v4,low_energy_v4_v5,low_energy
sad_depressed,sad_depressed_8d5ec8,sad_depressed_a88b5c,sad_depressed_v4,sad_depressed_v4_v5,sad_depressed
unusually_loud,unusually_loud_b042d1,unusually_loud_5eed56,unusually_loud_v4,unusually_loud_v4_v5,unusually_loud
uses_drugs_nonmedical,uses_drugs_nonmedical_20226b,uses_drugs_nonmedical_c794d4,uses_drugs_nonmedical_v4,uses_drugs_nonmedical_v4_v5,uses_drugs_nonmedical
