te_id,A_ES_R,A_E_R,A_CHK_I_R,A_N_R,A_CHK_O_R,A_M_R,A_ES_L,A_E_L,A_CHK_I_L,A_N_L,A_CHK_O_L,A_M_L
2E_044,0.05880187126396951,0.0056142732006892095,0.04463262968417608,0.020201035740756768,0.06479034912934246,0.011652083513817892,0.05890534908121324,0.004435107376283845,0.049433519112112176,0.023872091792043266,0.07496847536265365,0.012258511652083515
2E_045,0.053916159206538986,0.008120001765634988,0.04137439330286973,0.026003773085197635,0.0729965320625879,0.01926365344423569,0.06117637350088954,0.009925939289024851,0.04795330279296588,0.02244467517114185,0.06838668941521016,0.02158296853139471
2E_047,0.05169030134211193,0.009255507723474297,0.05444732843757913,0.0241274162235165,0.06688191103232885,0.015393137503165354,0.05403161137840804,0.010226217607833207,0.05461825778678146,0.0248818266227737,0.07401873892124589,0.01702224191778509
2E_048,0.05908963907698377,0.01022423465474547,0.05172106808669165,0.026295389301601902,0.07344191703372559,0.01501654504415664,0.05230315780246752,0.00883954594262924,0.04790118992834134,0.024721692634716116,0.07001375101352089,0.013625008217737175
2E_049,0.04554363436681592,0.007818100628779008,0.04065943349545613,0.01928939523769295,0.06444924510312704,0.014696049916122576,0.05428740390301596,0.009111864734066305,0.04766651781942818,0.02734886976671212,0.08533170808240506,0.01838062250328872
2E_050,0.059438862579461585,0.0038784184478860002,0.043061244080378855,0.0250410640385682,0.07345396561286746,0.015148363838047697,0.058850900209053286,0.005542311958701313,0.04467180767097571,0.023790477409445798,0.06057878962413074,0.015473676351380177
2E_051,0.04865805017659238,0.007583196322007063,0.03611295061502862,0.02162114845938376,0.07978721379856289,0.02085236268420412,0.045803647545974914,0.007635527036901717,0.03787601997320667,0.020879003775423212,0.07687477164778955,0.01966493118986725
2E_052,0.04689557106106584,0.010724146206345899,0.05823762007612203,0.028060188892103606,0.06918492900285511,0.015097686957652907,0.04870666550038914,0.011778281669481428,0.061752152567044145,0.03207263217625147,0.07865308401908208,0.015727925394123304
2E_053,0.03693607045788231,0.00892260945741468,0.04104563712066913,0.02012615603896993,0.06485559850605767,0.010646074929907653,0.041553079265117594,0.0078086871644704745,0.04804670509749629,0.022812434272458635,0.07332998441938203,0.0119202958479593
2E_054,0.045069467146126176,0.00773864007845701,0.04562847335730631,0.02563337692056227,0.05747875122589084,0.022234390323635164,0.037845701209545606,0.007250735534488395,0.0392644655116051,0.022318568159529265,0.04551569140241909,0.018993135011441648
