PID,A_ES_R,A_E_R,A_CHK_I_R,A_N_R,A_CHK_O_R,A_M_R,A_ES_L,A_E_L,A_CHK_I_L,A_N_L,A_CHK_O_L,A_M_L
SP0258004,0.04802994483845548,0.008687943262411346,0.037677304964539,0.014558707643814044,0.07210401891252957,0.013514578408195433,0.054452324665090625,0.009121355397951142,0.045498423955870775,0.021867612293144198,0.07797478329393222,0.014962568951930655
SP0359425,0.045428427781368956,0.004500945677416266,0.04072398190045249,0.016315928080633944,0.07401422107304458,0.01388589623883742,0.04442289736407383,0.004572769278651632,0.04433910316263257,0.022851875793052277,0.08416529004764299,0.015861045272809987
SP0118258,0.041858678955453144,0.006278801843317977,0.040706605222734275,0.012499999999999997,0.06294162826420895,0.009850230414746537,0.05182411674347158,0.006144393241167434,0.051574500768049154,0.02524961597542242,0.08786482334869432,0.011866359447004607
SP0008815,0.037657966596812094,0.006318663872483648,0.040198132977710035,0.01344700577887854,0.06744141741284054,0.016082428399060142,0.03942020702356004,0.0064615482314091584,0.04296056391693656,0.01647932939607543,0.07179145234012829,0.01657458563535912
SP0110758,0.048617619493908144,0.009562441424554828,0.04729967197750704,0.01900773195876286,0.07581126991565128,0.02315194470477976,0.04674320524835989,0.010104264292408623,0.04683106841611996,0.01793873008434866,0.0738343486410497,0.022654053420806
SP0083760,0.043601838413159164,0.008647798742138368,0.039832285115304004,0.01753749395258828,0.057873730043541294,0.01849500080632155,0.05813578455087889,0.01019996774713756,0.04984075149169489,0.02591315916787614,0.08347443960651511,0.02238550233833253
SP0153795,0.04888969785220241,0.008251425797840068,0.040626137604659635,0.012365004247057403,0.0684382963232617,0.017085305181410024,0.04666909355660721,0.008045140152894065,0.04058973425555151,0.014804028637301311,0.07372891639364153,0.016769809489139663
SP0133561,0.057927416249518686,0.0038626299576434335,0.037868213323065066,0.011636022333461706,0.06771033885252213,0.01157585675779746,0.05862533692722372,0.003273007316134003,0.04159847901424719,0.01577541393916058,0.07797458606083943,0.012141413169041201
SP0052047,0.04949741728326121,0.005451626413513892,0.04112103867094794,0.015859276839313118,0.06805109590953516,0.013430127041742287,0.05280608683512495,0.005221276001675277,0.04698450369956722,0.020305737819349433,0.07822839592349576,0.015454418539717992
SP0310672,0.07471496997908654,0.005278958375497534,0.06188861903798152,0.032053228091479445,0.08940497874924105,0.017127099777373003,0.04013188963097888,0.005540376442015786,0.03609255886122916,0.008483437900559948,0.02597314983471633,0.009664035620319773
SP0294527,0.038113695090439284,0.006929762743716232,0.047238372093023284,0.01863841907446556,0.056774136715997216,0.010923185341789984,0.05352948085506225,0.008647521728917078,0.05876350716466995,0.023674242424242428,0.07865721165139772,0.013793457834155495
SP0133130,0.05698156904371322,0.002663321432017752,0.05005307343433368,0.022474187011483154,0.05755090224838363,0.01642381549744283,0.05316993148702113,0.0027501688700183363,0.03839621731158931,0.017186143008781248,0.059143105278394295,0.015902730869439333
SP0046248,0.04544903648042661,0.006096230759907887,0.04151011998545631,0.018264452793600776,0.07490001211974308,0.011550115137559075,0.05466004120712641,0.0064961822809356425,0.04887892376681616,0.023621379226760383,0.08528663192340323,0.013113561992485756
SP0052269,0.05338190322000361,0.007712718114768839,0.03763041914013311,0.008319841698147132,0.05577666846555138,0.011602806260118732,0.06905468609462134,0.008499730167296278,0.05007645259938837,0.026724680697967268,0.08879744558373809,0.01610001798884691
SP0306756,0.055263470563773544,0.009133844234539296,0.04832768965722091,0.022040040396839544,0.0867789461177449,0.01226756965484466,0.042758272441038435,0.008450662389354243,0.038629477811441826,0.015490405750608907,0.0651102002019842,0.008970474662864618
SP0041220,0.04920315865039483,0.0072648959081119905,0.05652548456568558,0.021938262742282853,0.08594400574300069,0.01579325197415649,0.04298636037329504,0.0071787508973438635,0.0525197415649677,0.023244795405599424,0.0815506101938263,0.014816941852117729
SP0374130,0.06920179078401398,0.010810220572177337,0.062013176093761384,0.02328565188905874,0.0774641479216714,0.01445912499090049,0.06534359758316953,0.010318846909805635,0.058427968260901214,0.024350294824197427,0.0745341049719735,0.013967751328528785
SP0376199,0.041310663021189346,0.005596377306903623,0.046714798359535216,0.02242822966507177,0.07862696514012305,0.010594668489405322,0.04032809295967191,0.006365345181134657,0.046949760765550234,0.01738721804511277,0.07247522214627478,0.01033834586466165
SP0040444,0.057265329845975016,0.0073234524847428095,0.04040976460331299,0.017000871839581502,0.07718686428363847,0.017930834059866303,0.04559721011333915,0.006451612903225807,0.034408602150537634,0.008108108108108122,0.06195873292647486,0.015228131357163617
SP0217907,0.04991221069433359,0.007230646448523543,0.03886671987230646,0.017110933758978465,0.08110135674381486,0.012482043096568245,0.04579409417398245,0.007262569832402236,0.034972067039106144,0.013136472466081411,0.0755466879489226,0.011636073423782915
SP0255147,0.030294669462531728,0.003614391347533392,0.02407754846779237,0.005619320899091368,0.019175587683478677,0.011054703307214062,0.06713754920354634,0.005141080822572932,0.05293749770076886,0.0315362542765699,0.0824872162748777,0.02053673251664643
SP0348750,0.039219203061010975,0.003482497832780318,0.030116880399366254,0.010940722805129598,0.047350013451708396,0.011613308223477713,0.05852987773891728,0.004050458852718741,0.04292589603324067,0.021164021164021156,0.07854303052043161,0.016500762263474127
SP0072453,0.049583548200584436,0.005891269357585986,0.0390198928007751,0.016603378494522848,0.06227243604769273,0.016384604566124415,0.060748831903489446,0.0064069507602394025,0.05084149828887533,0.026057537543168797,0.08318097291891302,0.02044754895066648
SP0171839,0.057679612718670926,0.0062163054241390694,0.0383705578171416,0.01298272637253824,0.07850148531191556,0.011717460666740016,0.056689404775002755,0.005638684123665971,0.03947078886566179,0.014220486302123435,0.08039938387061281,0.010892287380349875
SP0248810,0.04871553884711781,0.007406910132474041,0.04446383816684569,0.015999820981023982,0.07482993197278918,0.013023630504833513,0.050684747583243824,0.007250268528464017,0.04768617973505193,0.019266917293233085,0.08165503043322593,0.014299140708915144
SP0044899,0.056728462084958665,0.00555622578785807,0.038980710714333594,0.008820257101111242,0.0656693610005228,0.016782616855001944,0.06542137504859184,0.005375263066178736,0.04494577820672646,0.01684293776222836,0.07692926368279247,0.01691666331550514
SP0069355,0.060198821796759935,0.008161512027491404,0.05598510882016038,0.02109583810614738,0.08580156002836414,0.01228658702885507,0.0570555828287787,0.007984236077019586,0.0521395843560792,0.019036709758359253,0.07993781705121912,0.011400207276495935
SP0234712,0.050951713083550405,0.0046884391905429755,0.036866359447004636,0.015568022440392718,0.0573231817271088,0.01352434381887397,0.05582047685834502,0.005069124423963136,0.04363854938890002,0.020677218994189527,0.07138849929873772,0.014926868363053507
SP0048192,0.05269327484827286,0.00596509803180125,0.046444574691346364,0.019918322587963916,0.07637405229623186,0.01268646839726987,0.05236240570229339,0.0064472216445141915,0.04624605320375867,0.015106539865005408,0.07915335312245937,0.01288498988485754
SP0039391,0.0453968868249054,0.006256449948400409,0.04217191262469899,0.014071637426900582,0.06778895768833845,0.01543687650498796,0.059081527347781215,0.007299191606467149,0.049417354661162705,0.0213170794633643,0.08674105607155143,0.01741486068111455
SP0081496,0.047199797199797194,0.008521508521508521,0.03746928746928746,0.011651261651261662,0.057018057018057025,0.01027651027651027,0.05293280293280293,0.009116259116259115,0.04473304473304473,0.019597519597519594,0.07234507234507238,0.011709761709761703
SP0292786,0.05655880773361976,0.004956587898317219,0.047462406015037595,0.02394378804153241,0.07167472252058718,0.014064178302900115,0.05934479054779807,0.004609738632295022,0.051669351951306855,0.02591299677765842,0.07562432867883996,0.01513829215896885
SP0233826,0.05517886902723557,0.010975275666050275,0.04818163139510991,0.016825331598292387,0.07294020957468664,0.015335707599936082,0.051788690272355775,0.010627125995936355,0.04668630002511245,0.01320115060612285,0.0724722051001073,0.0152443896536767
SP0297252,0.0483034998664173,0.00836227624899813,0.04456318461127437,0.012877371092706381,0.07373764360138929,0.017579481699171798,0.05366016564253273,0.008188618755009352,0.05228426395939087,0.019983970077477955,0.08067058509217205,0.019022174726155486
SP0070624,0.04878763655742073,0.007887023714361844,0.03944844124700239,0.011837196909139324,0.06518118838262722,0.011910471622701854,0.063449240607514,0.008726352251532109,0.051338928856914476,0.023394617639221984,0.08994138022914999,0.014308553157474016
SP0255995,0.05362144857943176,0.008931572629051617,0.04725090036014405,0.015502200880352143,0.07078831532613043,0.013421368547418978,0.053509403761504606,0.009155662264905962,0.045226090436174475,0.016926770708283304,0.07066826730692277,0.013349339735894365
SP0096680,0.055234282325029645,0.010339156691469852,0.05068478378086916,0.021359053165103004,0.07000835759732554,0.014248355440526248,0.05389302275423272,0.010096516769114631,0.05363690283619108,0.02331365253963119,0.07360077644775155,0.015798554944462414
SP0252261,0.044901541330700456,0.012742032801272556,0.05712796884427621,0.023306456036421494,0.07776863584005268,0.015501069606713831,0.04269102078876639,0.012281279139926497,0.057122483681641176,0.020306072075037013,0.08012725577313369,0.01609895233393669
SP0024768,0.05340048209366391,0.007300275482093667,0.057059228650137725,0.024956955922865016,0.09583333333333341,0.014127066115702467,0.04384469696969697,0.007825413223140494,0.04856232782369148,0.017355371900826446,0.07376893939393937,0.012362258953168032
SP0300766,0.03968253968253969,0.005804311774461026,0.04738213693437574,0.020344705046197592,0.06760838663823743,0.01089789149490642,0.03704690831556503,0.006485429992892679,0.04684908789386403,0.01643567874911158,0.06589078417436624,0.011223643686330253
SP0099854,0.04601672748409596,0.009025737074950756,0.05032776826944814,0.019730681047566753,0.07924564859366423,0.015242031840346159,0.03849258888494203,0.009752316982594376,0.03963897051700197,0.011592986081958212,0.05988633061000421,0.013304485419963184
SP0098875,0.0483023290986086,0.00601179673321234,0.03734686932849365,0.014339458560193575,0.07443852087114337,0.012118118572292795,0.05130822746521477,0.005756578947368422,0.03941696914700545,0.017042876588021783,0.06793519358741681,0.011324107683000602
SP0030885,0.04463896160558464,0.006503599476439791,0.04574334642233856,0.019306282722513095,0.07035340314136124,0.010089441535776615,0.03416775741710296,0.006667212041884818,0.03758998691099478,0.014575152705061064,0.05704624781849912,0.009462260034904014
SP0084553,0.05247117747117747,0.006591381591381589,0.04450954450954453,0.017506142506142484,0.07576545076545076,0.012521262521262523,0.05093555093555094,0.006355131355131355,0.04115479115479115,0.01623039123039125,0.0681109431109431,0.012025137025137023
SP0287146,0.05648535564853556,0.009882377037188757,0.04808058050735873,0.019830587822219622,0.07872253269742807,0.011425812681042811,0.0503189279339907,0.009648301489305679,0.04704187026362757,0.0162975100213594,0.07072007490417534,0.011228311437516462
SP0360385,0.08547367062467734,0.005498193082085701,0.0530846670108415,0.030685338151781125,0.09621192565823433,0.01893391843056272,0.05049690242643262,0.004723799690242644,0.025716313887454833,0.009434692823954562,0.040829891584925136,0.012003097573567373
SP0375016,0.05349913244650087,0.005118565644881437,0.03481781376518219,0.010670908039329092,0.06341816078658187,0.006593406593406597,0.05798149219201851,0.004945054945054945,0.03805668016194333,0.016367842683632155,0.07278773857721225,0.00824175824175825
SP0142784,0.05269368489583332,0.012166341145833332,0.04497612847222223,0.015570746527777755,0.07272677951388888,0.01643880208333333,0.04954698350694445,0.011935763888888892,0.04295518663194443,0.0161539713541667,0.07259114583333331,0.016587999131944448
SP0091570,0.06657551767481859,0.009140626722826211,0.049319690387456705,0.02129688843804444,0.07177431803647437,0.019461044832072685,0.07495534434471961,0.009482435442256378,0.05520762123183453,0.024670871281451894,0.08191280569828213,0.02187024499966921
SP0069380,0.058889650967840275,0.008097088858405727,0.05128791342783113,0.022538484987044662,0.09093507087334252,0.012498094802621556,0.04412437128486511,0.006858710562414268,0.03753238835543362,0.012936290199664689,0.05639384240207286,0.010116598079561038
SP0018597,0.052969858156028386,0.009219858156028365,0.04092789598108748,0.014273049645390046,0.0709663120567376,0.010387115839243493,0.05090130023640661,0.009072104018912529,0.04111997635933806,0.017449763593380643,0.07386229314420802,0.011303191489361696
SP0007607,0.043729093449633744,0.008616674429436422,0.044099589278909265,0.016989880171063208,0.07334758860143119,0.013337849853918789,0.05379599441080577,0.009844603463606728,0.05359486810348476,0.02496083329804802,0.08602913155777617,0.015275013761273673
SP0178192,0.05319211102994888,0.009306062819576334,0.04579985390796203,0.016303871439006593,0.06904309715120523,0.014901387874360853,0.05611395178962746,0.009685902118334554,0.04464572680788896,0.015310445580715834,0.06937910883856828,0.014784514243973701
SP0217644,0.053190264127764134,0.011190878378378382,0.04708614864864864,0.01660396191646191,0.07146421990171994,0.018792229729729732,0.05363175675675676,0.011248464373464372,0.04871775184275185,0.01833154176904177,0.07977579852579852,0.02002073095823097
SP0348063,0.04932655427704932,0.008897511372758904,0.04442065828204444,0.017616626527517616,0.07279680670769778,0.01574346623851575,0.05002898938542503,0.008540718936758541,0.04595932566229594,0.01780617250914282,0.07265185978057263,0.01568771742039069
SP0036676,0.05049382716049384,0.004938271604938267,0.03608465608465609,0.01897707231040563,0.060317460317460304,0.01724867724867725,0.054867724867724864,0.004320987654320989,0.043368606701940024,0.0221693121693122,0.07529100529100528,0.019611992945326288
SP0113604,0.06182420648761773,0.005447041041739331,0.044018137425880725,0.017242181141727726,0.07886292291594,0.0194802929891873,0.060080223229857,0.005941169631438203,0.04387280548773399,0.01996279502383443,0.07266015579583768,0.020555749331473076
SP0215022,0.0456727017324801,0.007725924769783049,0.04337053223037302,0.017636959575464337,0.08326830029655058,0.01750039019822068,0.04994537224910254,0.0073942562821913554,0.0480724207897612,0.017578429842359914,0.08652645543936319,0.016466364913376
SP0023698,0.05448006990656718,0.009612152987833569,0.045288028500369705,0.018014384620555227,0.07750218458022454,0.017762317671573564,0.05177455132083081,0.009074410163339382,0.03989379579216239,0.012788196545002366,0.07109968407609062,0.017073334677690392
SP0054862,0.05280629061116866,0.008349813227862008,0.047728913582572134,0.018528109991524627,0.07554854506074013,0.020458611922026547,0.05406974919170041,0.008059453181404401,0.047995730922560195,0.02072542926201463,0.0792447499764573,0.018818470037982215
SP0052325,0.04926630434782609,0.0052173913043478265,0.045706521739130444,0.01760869565217392,0.07314311594202895,0.013043478260869558,0.05280797101449275,0.005724637681159422,0.046032608695652164,0.01841485507246377,0.074356884057971,0.013070652173913039
SP0047242,0.052774641771602265,0.008111159357359966,0.04209292227529311,0.012314372557533653,0.0651671732522796,0.009266174554928354,0.055136778115501515,0.008050369083803735,0.0462440295267043,0.016899696048632232,0.07494572297003907,0.009023013460703432
SP0356552,0.050481000481000474,0.008633958633958636,0.04086099086099087,0.016654641654641644,0.08560606060606062,0.011928811928811931,0.05369167869167869,0.009259259259259259,0.04455266955266955,0.01902356902356902,0.0905002405002405,0.012337662337662328
